Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AmazonSearch,Chrome 121.0.0.0,,,05-02-2024 00:58:19,05-02-2024 00:59:56,1m - 37.306s,FAILED
,,,,,,,
Test Cases/AmazonLogin/TC_AmazonSearch001,Chrome 121.0.0.0,,,05-02-2024 00:58:20,05-02-2024 00:58:41,21.742s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,05-02-2024 00:58:20,05-02-2024 00:58:24,3.609s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,05-02-2024 00:58:24,05-02-2024 00:58:32,7.967s,PASSED
"setText(findTestObject(""Object Repository/AmazonSearch/AmazonSearch001/Page_Online Shopping site in India Shop Onl_10c5f3/input_field-keywords""), SearchInput)",Chrome 121.0.0.0,,,05-02-2024 00:58:32,05-02-2024 00:58:34,2.447s,PASSED
"click(findTestObject(""Object Repository/AmazonSearch/AmazonSearch001/Page_Online Shopping site in India Shop Onl_10c5f3/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,05-02-2024 00:58:34,05-02-2024 00:58:40,6.094s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,05-02-2024 00:58:40,05-02-2024 00:58:41,0.934s,PASSED
,,,,,,,
Test Cases/AmazonLogin/TC_AmazonSearch001,Chrome 121.0.0.0,,,05-02-2024 00:58:41,05-02-2024 00:59:01,19.494s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,05-02-2024 00:58:42,05-02-2024 00:58:43,1.765s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,05-02-2024 00:58:43,05-02-2024 00:58:50,6.989s,PASSED
"setText(findTestObject(""Object Repository/AmazonSearch/AmazonSearch001/Page_Online Shopping site in India Shop Onl_10c5f3/input_field-keywords""), SearchInput)",Chrome 121.0.0.0,,,05-02-2024 00:58:50,05-02-2024 00:58:52,1.171s,PASSED
"click(findTestObject(""Object Repository/AmazonSearch/AmazonSearch001/Page_Online Shopping site in India Shop Onl_10c5f3/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,05-02-2024 00:58:52,05-02-2024 00:59:00,8.648s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,05-02-2024 00:59:00,05-02-2024 00:59:01,0.684s,PASSED
,,,,,,,
Test Cases/AmazonLogin/TC_AmazonSearch001,Chrome 121.0.0.0,,,05-02-2024 00:59:01,05-02-2024 00:59:16,15.102s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,05-02-2024 00:59:01,05-02-2024 00:59:03,1.593s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,05-02-2024 00:59:03,05-02-2024 00:59:07,4.793s,PASSED
"setText(findTestObject(""Object Repository/AmazonSearch/AmazonSearch001/Page_Online Shopping site in India Shop Onl_10c5f3/input_field-keywords""), SearchInput)",Chrome 121.0.0.0,,,05-02-2024 00:59:07,05-02-2024 00:59:10,2.203s,PASSED
"click(findTestObject(""Object Repository/AmazonSearch/AmazonSearch001/Page_Online Shopping site in India Shop Onl_10c5f3/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,05-02-2024 00:59:10,05-02-2024 00:59:15,5.841s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,05-02-2024 00:59:15,05-02-2024 00:59:16,0.575s,PASSED
,,,,,,,
Test Cases/AmazonLogin/TC_AmazonSearch001,Chrome 121.0.0.0,,,05-02-2024 00:59:16,05-02-2024 00:59:56,40.273s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,05-02-2024 00:59:16,05-02-2024 00:59:18,1.994s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 121.0.0.0,,,05-02-2024 00:59:18,05-02-2024 00:59:25,6.798s,PASSED
"setText(findTestObject(""Object Repository/AmazonSearch/AmazonSearch001/Page_Online Shopping site in India Shop Onl_10c5f3/input_field-keywords""), SearchInput)",Chrome 121.0.0.0,,,05-02-2024 00:59:25,05-02-2024 00:59:56,31.441s,FAILED
